icao24,callsign,origin_country,longitude,latitude,velocity,baro_altitude,geo_altitude,vertical_rate,hour,delay_seconds
a36fe3,SCA32   ,United States,-112.0802,33.7964,55.41,1272.54,1303.02,-2.6,14,0
a4e6c0,AAL1850 ,United States,-94.4473,39.2508,214.98,10363.2,10629.9,0.0,14,0
a7f90d,BPX287  ,United States,-81.1321,29.2998,40.85,160.02,213.36,5.85,14,0
a44943,DAL2921 ,United States,-116.3598,43.9975,212.11,11582.4,11772.9,0.0,14,0
a7f914,N6124D  ,United States,-80.6823,27.9071,32.87,556.26,617.22,1.3,14,0
a3fc34,MVK63   ,United States,-93.5421,44.188,43.77,1965.96,1935.48,-2.28,14,0
a3fc35,N356ML  ,United States,-111.8368,35.4519,235.89,9144.0,9570.72,0.0,14,0
a3fc36,N356MM  ,United States,-85.495,35.8185,79.06,1920.24,1981.2,-2.6,14,0
a05f95,RPA4392 ,United States,-71.0057,42.3784,0.0,,,,14,0
a389de,N327RX  ,United States,-96.5986,33.4554,168.39,3307.08,3444.24,-0.33,14,0
abe90b,OPN86   ,United States,-76.9321,41.2911,186.27,6103.62,5905.5,-5.2,14,0
3c08c9,VJH992  ,Germany,-80.2668,25.9949,98.29,838.2,914.4,-0.33,14,1
a6893c,JIA5639 ,United States,-77.0411,38.8567,0.45,,,,14,12
ada167,ASA1440 ,United States,-86.7319,33.674,206.37,10058.4,10393.68,6.18,14,0
a123bf,UAL2265 ,United States,-99.1555,40.7869,263.85,11277.6,11590.02,0.0,14,1
a0fcd4,AAL2845 ,United States,-107.0147,38.4384,265.06,10668.0,11102.34,0.33,14,0
abe930,DAL1848 ,United States,-101.3059,26.956,251.04,10058.4,10584.18,0.0,14,0
abcf15,JRT60   ,United States,-116.5342,34.7964,183.94,6103.62,6332.22,-3.25,14,0
a136f6,N178AS  ,United States,-118.3594,34.2001,1.03,,,,14,0
a4491a,UAL587  ,United States,-85.7816,41.7836,278.87,9204.96,9174.48,8.78,14,0
a5b954,SWA3186 ,United States,-110.1795,34.3605,213.5,11582.4,12115.8,0.0,14,1
ac4fb5,SWA2980 ,United States,-113.6453,32.8226,220.15,10934.7,11468.1,-5.2,14,1
a54f70,N441MJ  ,United States,-113.9491,40.7208,134.88,3444.24,3566.16,-1.3,14,0
a9d797,N733QJ  ,United States,-81.1979,35.7912,54.06,1394.46,1379.22,1.95,14,1
aac954,UAL313  ,United States,-104.3413,31.3211,247.17,10668.0,11216.64,0.0,14,0
acef18,SWA2441 ,United States,-103.7117,40.2204,179.18,6705.6,6941.82,-1.63,14,1
a04070,CXK618  ,United States,-95.2211,30.3023,64.44,693.42,739.14,-1.95,14,0
a781e6,RSP583  ,United States,-96.8606,32.8605,53.5,144.78,160.02,-2.6,14,0
ab2fe4,N82QD   ,United States,-97.4067,31.0818,219.58,6705.6,7040.88,0.0,14,0
ad292a,SWA4556 ,United States,-77.0423,38.8473,0.0,,,,14,0
a17383,N193CA  ,United States,-118.3428,33.9227,33.96,106.68,114.3,2.93,14,0
a661ed,N510FA  ,United States,-80.4894,25.6507,31.02,167.64,213.36,0.0,14,0
ab6c26,AAL1466 ,United States,-80.1579,25.8776,138.9,1668.78,1744.98,11.7,14,2
a0a36d,N140HP  ,United States,-117.9732,33.8733,41.18,22.86,15.24,-2.6,14,0
a01805,RPA4710 ,United States,-76.4603,39.809,172.93,10363.2,10226.04,0.33,14,0
acb9bf,VTE3551 ,United States,-94.9393,34.7661,244.24,8534.4,8877.3,0.0,14,0
a30361,N2933A  ,United States,-121.3608,37.6626,47.01,883.92,861.06,-0.98,14,0
a41c56,DAL2828 ,United States,-117.4585,34.0831,181.83,4251.96,4427.22,-11.7,14,0
a1c371,N2121F  ,United States,-96.809,44.3038,0.45,,,,14,0
a68903,N520AW  ,United States,-82.6897,27.9039,2.06,,,,14,0
abd627,SWA8834 ,United States,-83.0037,33.1852,248.02,12496.8,12839.7,-0.33,14,0
a59197,UAL1717 ,United States,-99.4031,30.1394,246.56,10050.78,10553.7,0.0,14,1
ab6c1d,NDU35T  ,United States,-96.9612,47.9996,84.49,1653.54,1592.58,-0.65,14,2
